0,wage,educ,black,lwage,,,
99,808,16,0,6.694562,,,
100,1299,18,0,7.16935,,,
101,903,12,0,6.8057227,,,
102,900,12,0,6.802395,,,
103,625,12,0,6.437752,,,
104,1586,14,0,7.3689704,,,
105,962,10,0,6.8690143,,,
106,1539,17,0,7.338888,,,
107,1110,12,0,7.0121155,,,
108,1282,16,0,7.1561766,,,
109,770,12,0,6.6463904,,,
110,1000,12,0,6.9077554,,,
111,895,9,1,6.7968235,,,
112,1205,10,1,7.094235,,,
113,750,12,0,6.6200733,,,
114,654,13,0,6.4831076,,,
115,601,12,0,6.398595,,,
116,600,13,0,6.3969297,,,
117,433,12,0,6.070738,,,
118,1188,12,0,7.0800266,,,
119,635,12,0,6.453625,,,
120,1225,13,0,7.1106963,,,
121,1151,12,0,7.0483866,,,
122,865,12,0,6.7627296,,,
123,1031,14,0,6.9382844,,,
124,1049,12,0,6.9555926,,,
125,1000,12,0,6.9077554,,,
126,1105,13,0,7.007601,,,
127,1924,18,0,7.5621614,,,
128,1346,16,0,7.2048926,,,
129,809,12,0,6.695799,,,
130,1495,18,0,7.3098817,,,
131,1346,16,0,7.2048926,,,
132,1200,12,0,7.090077,,,
133,500,12,0,6.214608,,,
134,1325,12,0,7.189168,,,
135,900,12,1,6.802395,,,
136,800,12,0,6.684612,,,
137,800,12,0,6.684612,,,
138,1034,12,0,6.9411902,,,
139,980,12,0,6.8875527,,,
140,884,10,0,6.784457,,,
141,480,10,0,6.173786,,,
142,923,18,0,6.827629,,,
143,513,17,0,6.240276,,,
144,1105,11,0,7.007601,,,
145,1193,12,0,7.0842266,,,
146,2771,18,0,7.9269633,,,
147,779,12,0,6.658011,,,
148,950,11,0,6.856462,,,
149,1394,16,0,7.2399325,,,
150,1495,17,0,7.3098817,,,
151,650,12,0,6.4769726,,,
152,670,13,0,6.5072775,,,
153,1126,16,0,7.026427,,,
154,450,12,1,6.1092477,,,
155,1028,12,1,6.9353704,,,
156,2404,15,0,7.784889,,,
157,1899,18,0,7.5490828,,,
158,757,16,0,6.629363,,,
159,1250,14,0,7.130899,,,
160,1162,16,0,7.057898,,,
161,1025,15,1,6.932448,,,
162,1100,16,0,7.0030656,,,
163,714,16,0,6.570883,,,
164,1318,16,0,7.183871,,,
165,1411,18,0,7.2520537,,,
166,2162,17,0,7.678789,,,
167,1273,14,0,7.149132,,,
168,1140,12,0,7.0387836,,,
169,578,13,0,6.359574,,,
170,942,12,0,6.8480053,,,
171,1058,12,0,6.9641356,,,
172,750,14,0,6.6200733,,,
173,1000,12,0,6.9077554,,,
174,951,12,0,6.857514,,,
175,635,12,0,6.453625,,,
176,1250,12,0,7.130899,,,
177,675,12,0,6.514713,,,
178,400,12,0,5.9914646,,,
179,577,12,0,6.3578424,,,
180,590,13,0,6.3801227,,,
181,923,16,0,6.827629,,,
182,1250,12,0,7.130899,,,
183,1100,14,0,7.0030656,,,
184,1130,12,0,7.029973,,,
185,652,12,0,6.4800444,,,
186,618,12,0,6.4264884,,,
187,962,16,0,6.8690143,,,
188,529,13,0,6.2709885,,,
189,817,12,0,6.705639,,,
190,962,16,0,6.8690143,,,
191,840,12,0,6.733402,,,
192,866,16,0,6.763885,,,
193,2404,14,0,7.784889,,,
194,1126,12,0,7.026427,,,
195,1160,12,0,7.056175,,,
196,723,12,0,6.5834093,,,
197,1778,16,0,7.4832444,,,
198,1903,18,0,7.551187,,,
199,1010,18,0,6.9177055,,,
200,971,17,0,6.8783264,,,
201,525,12,0,6.263398,,,
202,525,12,0,6.263398,,,
203,670,12,0,6.5072775,,,
204,500,12,0,6.214608,,,
205,1058,14,0,6.9641356,,,
206,550,12,0,6.3099184,,,
207,500,12,0,6.214608,,,
208,727,15,0,6.5889263,,,
209,865,12,0,6.7627296,,,
210,1081,13,0,6.985642,,,
211,1304,17,0,7.1731915,,,
212,575,13,0,6.35437,,,
213,623,16,0,6.4345465,,,
214,515,13,0,6.244167,,,
215,1273,18,0,7.149132,,,
216,990,13,0,6.897705,,,
217,600,12,0,6.3969297,,,
218,1160,12,0,7.056175,,,
219,500,12,0,6.214608,,,
220,795,12,0,6.6783423,,,
221,500,11,0,6.214608,,,
222,740,10,0,6.6066504,,,
223,1250,16,0,7.130899,,,
224,1014,16,0,6.921658,,,
225,1250,13,0,7.130899,,,
226,913,14,0,6.8167357,,,
227,1346,16,0,7.2048926,,,
228,445,10,0,6.0980744,,,
229,265,12,0,5.57973,,,
230,1250,14,0,7.130899,,,
231,1607,13,0,7.3821244,,,
232,1452,16,1,7.2806973,,,
233,1391,12,1,7.237778,,,
234,821,16,0,6.710523,,,
235,794,16,0,6.6770835,,,
236,500,13,0,6.214608,,,
237,520,18,0,6.253829,,,
238,1730,18,0,7.455877,,,
239,1924,18,0,7.5621614,,,
240,1155,18,0,7.0518556,,,
241,2162,15,0,7.678789,,,
242,923,14,0,6.827629,,,
243,1115,16,0,7.0166097,,,
244,449,12,0,6.107023,,,
245,1500,12,0,7.3132205,,,
246,826,14,0,6.7165947,,,
247,937,12,0,6.8426833,,,
248,978,12,0,6.8855095,,,
249,1031,14,0,6.9382844,,,
250,1272,12,0,7.148346,,,
251,1136,14,0,7.035269,,,
252,800,12,0,6.684612,,,
253,1339,12,0,7.1996784,,,
254,1063,12,1,6.9688506,,,
255,935,12,0,6.8405466,,,
256,808,12,1,6.694562,,,
257,375,10,0,5.926926,,,
258,537,12,1,6.285998,,,
259,1082,12,1,6.9865665,,,
260,930,14,0,6.8351846,,,
261,1155,17,0,7.0518556,,,
262,548,11,1,6.3062754,,,
263,622,16,0,6.43294,,,
264,841,16,0,6.7345915,,,
265,769,18,0,6.645091,,,
266,587,17,0,6.375025,,,
267,1924,16,0,7.5621614,,,
268,1058,12,0,6.9641356,,,
269,417,12,0,6.0330863,,,
270,1202,16,0,7.091742,,,
271,1154,14,0,7.0509896,,,
272,1070,13,0,6.975414,,,
273,1202,14,0,7.091742,,,
274,711,18,0,6.5666723,,,
275,1202,14,1,7.091742,,,
276,850,12,0,6.7452364,,,
277,1000,16,0,6.9077554,,,
278,490,18,0,6.1944056,,,
279,1000,14,0,6.9077554,,,
280,865,16,0,6.7627296,,,
281,1375,13,0,7.226209,,,
282,1586,16,0,7.3689704,,,
283,1602,15,0,7.3790083,,,
284,3078,14,0,8.032035,,,
285,898,16,0,6.80017,,,
286,906,14,0,6.809039,,,
287,952,13,1,6.858565,,,
288,571,13,1,6.347389,,,
289,445,12,0,6.0980744,,,
290,289,12,0,5.6664267,,,
291,1444,16,0,7.275172,,,
292,962,12,0,6.8690143,,,
293,1075,12,0,6.980076,,,
294,909,11,0,6.812345,,,
295,1250,12,0,7.130899,,,
296,620,11,1,6.4297194,,,
297,1016,10,1,6.923629,,,
298,800,10,1,6.684612,,,
299,1050,16,0,6.9565454,,,
300,1079,12,0,6.98379,,,
301,654,17,0,6.4831076,,,
302,781,12,0,6.660575,,,
303,1038,15,0,6.945051,,,
304,1924,16,0,7.5621614,,,
305,1202,15,0,7.091742,,,
306,666,15,0,6.50129,,,
307,905,14,0,6.8079348,,,
308,890,12,0,6.7912216,,,
309,817,16,0,6.705639,,,
310,812,12,0,6.6995006,,,
311,577,14,0,6.3578424,,,
312,756,14,0,6.6280413,,,
313,1011,12,0,6.9186954,,,
314,1155,12,0,7.0518556,,,
315,1025,12,0,6.932448,,,
316,1350,12,0,7.20786,,,
317,1001,12,0,6.908755,,,
318,796,13,1,6.6795993,,,
319,1230,13,0,7.1147695,,,
320,754,12,0,6.6253924,,,
321,714,12,0,6.570883,,,
322,1000,15,0,6.9077554,,,
323,2067,16,0,7.6338534,,,
324,912,16,0,6.81564,,,
325,600,12,0,6.3969297,,,
326,951,11,0,6.857514,,,
327,711,16,0,6.5666723,,,
328,1151,12,0,7.0483866,,,
329,1000,12,0,6.9077554,,,
330,841,12,0,6.7345915,,,
331,400,12,0,5.9914646,,,
332,1175,12,0,7.0690236,,,
333,1202,12,0,7.091742,,,
334,1442,12,0,7.2737865,,,
335,538,18,0,6.2878585,,,
336,781,11,0,6.660575,,,
337,750,10,0,6.6200733,,,
338,841,18,1,6.7345915,,,
339,700,13,0,6.55108,,,
340,1346,16,0,7.2048926,,,
341,800,12,0,6.684612,,,
342,1250,16,0,7.130899,,,
343,1105,16,0,7.007601,,,
344,475,14,0,6.163315,,,
345,762,15,0,6.6359468,,,
346,962,12,0,6.8690143,,,
347,721,13,0,6.5806394,,,
348,800,9,0,6.684612,,,
349,658,16,0,6.489205,,,
350,1270,14,0,7.1467724,,,
351,1313,12,0,7.18007,,,
352,824,12,0,6.7141705,,,
353,1442,16,0,7.2737865,,,
354,1400,17,0,7.2442274,,,
355,1038,12,0,6.945051,,,
356,668,12,0,6.504288,,,
357,1100,12,0,7.0030656,,,
358,1000,14,0,6.9077554,,,
359,523,13,0,6.2595816,,,
360,1111,14,0,7.0130157,,,
361,962,16,0,6.8690143,,,
362,729,18,0,6.591674,,,
363,690,12,0,6.5366917,,,
364,1010,11,0,6.9177055,,,
365,600,11,0,6.3969297,,,
366,596,12,0,6.3902407,,,
367,850,12,0,6.7452364,,,
368,670,12,0,6.5072775,,,
369,793,12,0,6.675823,,,
370,1442,17,0,7.2737865,,,
371,670,12,0,6.5072775,,,
372,876,16,0,6.7753663,,,
373,841,18,0,6.7345915,,,
374,975,13,0,6.8824377,,,
375,1223,12,0,7.109062,,,
376,910,12,0,6.8134446,,,
377,533,15,0,6.2785215,,,
378,750,12,0,6.6200733,,,
379,1206,12,0,7.095064,,,
380,745,13,0,6.6133842,,,
381,900,12,0,6.802395,,,
382,1170,14,0,7.0647593,,,
383,540,12,0,6.291569,,,
384,550,16,0,6.3099184,,,
385,615,14,0,6.4216223,,,
386,909,13,0,6.812345,,,
387,769,12,0,6.645091,,,
388,984,13,0,6.891626,,,
389,833,12,0,6.7250338,,,
390,879,12,0,6.7787848,,,
391,1027,12,0,6.934397,,,
392,1000,16,0,6.9077554,,,
393,465,13,0,6.1420374,,,
394,1100,13,1,7.0030656,,,
395,641,14,0,6.4630294,,,
396,1035,12,0,6.942157,,,
397,1212,14,0,7.100027,,,
398,950,12,0,6.856462,,,
399,938,12,0,6.84375,,,
400,1250,16,0,7.130899,,,
401,586,18,0,6.3733196,,,
402,693,12,0,6.54103,,,
403,562,12,0,6.331502,,,
404,375,12,0,5.926926,,,
405,673,12,0,6.5117455,,,
406,654,17,0,6.4831076,,,
407,692,12,0,6.539586,,,
408,1111,14,0,7.0130157,,,
409,1368,16,0,7.221105,,,
410,1282,18,0,7.1561766,,,
411,1250,11,0,7.130899,,,
412,1346,15,0,7.2048926,,,
413,1424,17,0,7.261225,,,
414,854,16,0,6.7499313,,,
415,888,15,0,6.788972,,,
416,1161,12,0,7.057037,,,
417,583,16,0,6.368187,,,
418,1260,12,0,7.138867,,,
419,947,18,0,6.853299,,,
420,1850,11,0,7.522941,,,
421,1575,12,0,7.3620105,,,
422,758,16,0,6.6306834,,,
423,1442,12,0,7.2737865,,,
424,489,13,0,6.1923623,,,
425,1126,12,1,7.026427,,,
426,1000,12,1,6.9077554,,,
427,500,12,0,6.214608,,,
428,1200,12,0,7.090077,,,
429,565,10,0,6.336826,,,
430,1920,12,0,7.5600805,,,
431,684,14,0,6.527958,,,
432,774,12,0,6.6515718,,,
433,233,16,0,5.4510384,,,
434,975,13,0,6.8824377,,,
435,1366,12,0,7.219642,,,
436,2137,16,0,7.667158,,,
437,700,16,0,6.55108,,,
438,1200,12,0,7.090077,,,
439,1161,13,0,7.057037,,,
440,729,11,0,6.591674,,,
441,750,11,0,6.6200733,,,
442,1026,12,0,6.933423,,,
443,1111,15,0,7.0130157,,,
444,625,12,0,6.437752,,,
445,1200,16,0,7.090077,,,
446,1541,12,0,7.340187,,,
447,1154,16,0,7.0509896,,,
448,310,13,0,5.7365723,,,
449,610,12,0,6.413459,,,
450,1749,12,0,7.4667993,,,
451,1000,16,0,6.9077554,,,
452,350,12,0,5.857933,,,
453,765,12,0,6.639876,,,
454,790,12,0,6.672033,,,
455,818,12,0,6.7068624,,,
456,477,9,0,6.1675167,,,
457,938,14,0,6.84375,,,
458,2099,16,0,7.649216,,,
459,350,12,0,5.857933,,,
460,940,12,1,6.84588,,,
461,1202,15,0,7.091742,,,
462,450,15,0,6.1092477,,,
463,1058,16,0,6.9641356,,,
464,1000,11,0,6.9077554,,,
465,318,12,1,5.7620516,,,
466,556,11,1,6.3207684,,,
467,958,12,0,6.8648477,,,
468,995,9,1,6.902743,,,
469,1600,14,0,7.377759,,,
470,606,18,0,6.40688,,,
471,511,12,0,6.2363696,,,
472,1411,16,0,7.2520537,,,
473,1346,16,0,7.2048926,,,
474,1522,12,0,7.3277807,,,
475,1075,14,0,6.980076,,,
476,1200,12,0,7.090077,,,
477,1377,16,0,7.2276626,,,
478,874,13,0,6.7730803,,,
479,625,13,0,6.437752,,,
480,1250,12,0,7.130899,,,
481,1082,13,0,6.9865665,,,
482,693,11,0,6.54103,,,
483,727,12,0,6.5889263,,,
484,615,15,0,6.4216223,,,
485,913,16,0,6.8167357,,,
486,884,17,0,6.784457,,,
487,698,12,0,6.548219,,,
488,800,12,0,6.684612,,,
489,812,16,0,6.6995006,,,
490,1000,11,0,6.9077554,,,
491,549,12,0,6.3080983,,,
492,1300,12,0,7.17012,,,
493,923,16,0,6.827629,,,
494,1539,12,0,7.338888,,,
495,721,12,0,6.5806394,,,
496,815,12,0,6.703188,,,
497,600,12,0,6.3969297,,,
498,1100,12,0,7.0030656,,,
499,1058,12,0,6.9641356,,,
500,962,12,0,6.8690143,,,
501,433,12,0,6.070738,,,
502,940,11,0,6.84588,,,
503,1417,16,0,7.256297,,,
504,1000,12,0,6.9077554,,,
505,500,13,0,6.214608,,,
506,800,14,0,6.684612,,,
507,766,12,0,6.641182,,,
508,750,14,0,6.6200733,,,
509,550,12,0,6.3099184,,,
510,795,11,0,6.6783423,,,
511,723,12,0,6.5834093,,,
512,1039,14,0,6.946014,,,
513,200,10,0,5.2983174,,,
514,400,10,1,5.9914646,,,
515,575,11,0,6.35437,,,
516,850,11,0,6.7452364,,,
517,508,12,1,6.2304816,,,
518,1162,12,0,7.057898,,,
519,1199,13,1,7.089243,,,
520,1270,16,0,7.1467724,,,
521,350,16,0,5.857933,,,
522,963,14,1,6.8700533,,,
523,1463,15,0,7.2882442,,,
524,802,12,1,6.6871085,,,
525,642,12,1,6.464588,,,
526,751,13,0,6.6214056,,,
527,488,17,0,6.1903152,,,
528,1400,12,0,7.2442274,,,
529,940,18,0,6.84588,,,
530,866,13,0,6.763885,,,
531,675,12,1,6.514713,,,
532,375,14,1,5.926926,,,
533,325,14,1,5.7838254,,,
534,346,12,0,5.846439,,,
535,1442,17,0,7.2737865,,,
536,560,16,0,6.3279366,,,
537,550,12,0,6.3099184,,,
538,950,16,1,6.856462,,,
539,684,13,0,6.527958,,,
540,1322,16,0,7.186901,,,
541,1634,12,0,7.398786,,,
542,417,12,0,6.0330863,,,
543,472,11,0,6.156979,,,
544,666,12,1,6.50129,,,
545,1679,18,0,7.425954,,,
546,1039,16,0,6.946014,,,
547,1250,13,0,7.130899,,,
548,760,12,0,6.6333184,,,
549,1154,12,0,7.0509896,,,
550,1602,15,0,7.3790083,,,
551,1442,13,1,7.2737865,,,
552,865,16,0,6.7627296,,,
553,705,12,0,6.558198,,,
554,1000,12,0,6.9077554,,,
555,852,10,0,6.7475867,,,
556,770,12,0,6.6463904,,,
557,1000,12,0,6.9077554,,,
558,1329,18,0,7.192182,,,
559,1682,16,0,7.4277387,,,
560,577,16,1,6.3578424,,,
561,685,12,0,6.529419,,,
562,577,16,1,6.3578424,,,
563,1040,12,1,6.946976,,,
564,1250,16,0,7.130899,,,
565,600,13,0,6.3969297,,,
566,480,12,1,6.173786,,,
567,1000,11,0,6.9077554,,,
568,988,12,0,6.895683,,,
569,478,10,0,6.1696105,,,
570,440,12,1,6.086775,,,
571,485,12,1,6.184149,,,
572,705,9,1,6.558198,,,
573,1550,12,0,7.34601,,,
574,960,12,1,6.8669333,,,
575,1000,12,0,6.9077554,,,
576,625,18,0,6.437752,,,
577,1346,16,0,7.2048926,,,
578,961,12,1,6.8679743,,,
579,479,12,0,6.1717005,,,
580,1201,11,0,7.09091,,,
581,1346,16,0,7.2048926,,,
582,1122,18,0,7.022868,,,
583,543,14,1,6.297109,,,
584,450,11,1,6.1092477,,,
585,507,14,0,6.228511,,,
586,547,11,0,6.3044486,,,
587,586,11,0,6.3733196,,,
588,462,12,1,6.135565,,,
589,705,12,1,6.558198,,,
590,1566,12,0,7.35628,,,
591,1634,13,0,7.398786,,,
592,1282,16,0,7.1561766,,,
593,556,16,1,6.3207684,,,
594,1200,15,0,7.090077,,,
595,855,12,0,6.7511015,,,
596,1053,12,0,6.9593987,,,
597,1000,12,0,6.9077554,,,
598,900,12,0,6.802395,,,
599,1602,16,0,7.3790083,,,
600,508,17,0,6.2304816,,,
601,1500,16,0,7.3132205,,,
602,1682,14,0,7.4277387,,,
603,750,13,0,6.6200733,,,
604,843,14,0,6.736967,,,
605,409,12,0,6.0137153,,,
606,1004,12,0,6.9117475,,,
607,650,12,0,6.4769726,,,
608,808,12,1,6.694562,,,
609,2137,13,0,7.667158,,,
610,761,12,0,6.6346335,,,
611,769,16,0,6.645091,,,
612,345,12,1,5.8435445,,,
613,495,12,0,6.204558,,,
614,987,16,0,6.89467,,,
615,2500,12,0,7.824046,,,
616,1098,14,0,7.0012455,,,
617,1212,12,0,7.100027,,,
618,577,15,1,6.3578424,,,
619,390,15,1,5.966147,,,
620,1500,16,0,7.3132205,,,
621,583,12,0,6.368187,,,
622,460,11,0,6.1312265,,,
623,945,12,0,6.851185,,,
624,1442,16,0,7.2737865,,,
625,1333,16,0,7.195187,,,
626,1500,15,0,7.3132205,,,
627,1333,16,0,7.195187,,,
628,700,12,1,6.55108,,,
629,973,13,0,6.880384,,,
630,2162,18,0,7.678789,,,
631,797,12,0,6.680855,,,
632,400,12,1,5.9914646,,,
633,1015,12,1,6.9226437,,,
634,1744,16,0,7.463937,,,
635,630,15,0,6.4457197,,,
636,445,12,0,6.0980744,,,
637,660,16,0,6.49224,,,
638,779,12,1,6.658011,,,
639,377,12,0,5.9322453,,,
640,560,12,1,6.3279366,,,
641,1122,17,0,7.022868,,,
642,453,12,0,6.115892,,,
643,1386,10,0,7.234177,,,
644,1539,17,0,7.338888,,,
645,1154,16,0,7.0509896,,,
646,962,14,0,6.8690143,,,
647,722,16,0,6.582025,,,
648,480,12,0,6.173786,,,
649,808,18,0,6.694562,,,
650,1442,13,0,7.2737865,,,
651,1091,13,0,6.99485,,,
652,350,12,1,5.857933,,,
653,500,12,1,6.214608,,,
654,1026,16,0,6.933423,,,
655,577,17,1,6.3578424,,,
656,1333,15,0,7.195187,,,
657,915,12,0,6.818924,,,
658,1105,16,0,7.007601,,,
659,910,14,1,6.8134446,,,
660,1000,12,0,6.9077554,,,
661,1160,12,1,7.056175,,,
662,1001,12,1,6.908755,,,
663,713,12,1,6.5694814,,,
664,929,13,0,6.834109,,,
665,400,12,1,5.9914646,,,
666,1241,13,0,7.123673,,,
667,1065,12,0,6.9707303,,,
668,403,12,0,5.9989367,,,
669,940,13,1,6.84588,,,
670,812,10,1,6.6995006,,,
671,700,10,1,6.55108,,,
672,575,10,1,6.35437,,,
673,450,10,1,6.1092477,,,
674,621,12,0,6.431331,,,
675,441,12,0,6.089045,,,
676,625,16,1,6.437752,,,
677,726,12,0,6.58755,,,
678,500,9,1,6.214608,,,
679,1000,17,0,6.9077554,,,
680,393,12,0,5.9738097,,,
681,600,12,0,6.3969297,,,
682,962,12,0,6.8690143,,,
683,962,12,0,6.8690143,,,
684,865,11,0,6.7627296,,,
685,1154,16,0,7.0509896,,,
686,1386,16,0,7.234177,,,
687,732,12,0,6.5957804,,,
688,865,13,0,6.7627296,,,
689,700,12,0,6.55108,,,
690,975,9,0,6.8824377,,,
691,1300,13,0,7.17012,,,
692,900,14,0,6.802395,,,
693,829,12,0,6.72022,,,
694,1000,12,0,6.9077554,,,
695,827,16,0,6.717805,,,
696,500,13,0,6.214608,,,
697,1155,13,0,7.0518556,,,
698,950,15,0,6.856462,,,
699,700,13,0,6.55108,,,
700,1710,18,0,7.4442487,,,
701,533,12,1,6.2785215,,,
702,2004,18,0,7.6029005,,,
703,890,14,0,6.7912216,,,
704,3078,13,0,8.032035,,,
705,1539,17,0,7.338888,,,
706,508,12,1,6.2304816,,,
707,1354,17,0,7.2108183,,,
708,1143,12,0,7.041412,,,
709,962,12,0,6.8690143,,,
710,1250,12,0,7.130899,,,
711,990,12,1,6.897705,,,
712,905,12,0,6.8079348,,,
713,926,12,0,6.8308744,,,
714,1559,12,0,7.3518,,,
715,1312,10,0,7.179308,,,
716,923,14,1,6.827629,,,
717,879,18,0,6.7787848,,,
718,800,13,0,6.684612,,,
719,1049,14,0,6.9555926,,,
720,550,12,0,6.3099184,,,
721,1190,17,0,7.0817084,,,
722,583,14,0,6.368187,,,
723,1200,14,0,7.090077,,,
724,797,16,0,6.680855,,,
725,1371,18,0,7.2232957,,,
726,360,13,1,5.886104,,,
727,1270,12,0,7.1467724,,,
728,1832,12,0,7.5131636,,,
729,909,12,0,6.812345,,,
730,1746,18,0,7.4650826,,,
731,520,16,0,6.253829,,,
732,808,16,0,6.694562,,,
733,2137,16,0,7.667158,,,
734,692,15,1,6.539586,,,
735,931,16,0,6.8362594,,,
736,812,16,0,6.6995006,,,
737,866,14,0,6.763885,,,
738,1442,12,0,7.2737865,,,
739,500,14,0,6.214608,,,
740,1384,18,0,7.2327332,,,
741,528,18,0,6.2690964,,,
742,881,12,0,6.781058,,,
743,1026,12,0,6.933423,,,
744,1212,12,0,7.100027,,,
745,1620,15,0,7.3901815,,,
746,1843,16,0,7.51915,,,
747,1602,16,0,7.3790083,,,
748,1000,13,0,6.9077554,,,
749,737,12,0,6.6025877,,,
750,1699,12,0,7.437795,,,
751,1699,12,0,7.437795,,,
752,1025,14,0,6.932448,,,
753,1107,12,0,7.009409,,,
754,625,11,0,6.437752,,,
755,720,13,0,6.5792513,,,
756,855,12,0,6.7511015,,,
757,1250,12,0,7.130899,,,
758,1130,18,0,7.029973,,,
759,900,12,0,6.802395,,,
760,1924,17,0,7.5621614,,,
761,962,15,0,6.8690143,,,
762,1874,11,1,7.5358305,,,
763,1573,12,0,7.3607397,,,
764,940,14,0,6.84588,,,
765,900,16,0,6.802395,,,
766,882,12,0,6.782192,,,
767,1710,18,0,7.4442487,,,
768,1260,12,0,7.138867,,,
769,751,12,0,6.6214056,,,
770,1097,11,0,7.0003343,,,
771,1001,13,0,6.908755,,,
772,1154,15,0,7.0509896,,,
773,1000,12,0,6.9077554,,,
774,1250,12,0,7.130899,,,
775,857,12,0,6.753438,,,
776,1211,12,0,7.0992017,,,
777,937,16,0,6.8426833,,,
778,904,13,0,6.8068295,,,
779,872,15,0,6.7707896,,,
780,1200,9,0,7.090077,,,
781,1261,17,0,7.1396604,,,
782,950,12,0,6.856462,,,
783,115,12,0,4.744932,,,
784,673,17,0,6.5117455,,,
785,1084,15,0,6.9884133,,,
786,1058,14,0,6.9641356,,,
787,800,12,0,6.684612,,,
788,369,18,0,5.9107966,,,
789,1924,16,0,7.5621614,,,
790,855,12,0,6.7511015,,,
791,864,12,0,6.761573,,,
792,1092,16,0,6.995766,,,
793,1025,16,0,6.932448,,,
794,850,12,0,6.7452364,,,
795,673,12,0,6.5117455,,,
796,800,14,0,6.684612,,,
797,1049,16,0,6.9555926,,,
798,884,17,0,6.784457,,,
799,800,16,0,6.684612,,,
800,1200,17,0,7.090077,,,
801,664,12,0,6.498282,,,
802,1111,12,0,7.0130157,,,
803,850,16,0,6.7452364,,,
804,1000,12,0,6.9077554,,,
805,875,12,0,6.774224,,,
806,1202,16,0,7.091742,,,
807,666,12,0,6.50129,,,
808,923,16,0,6.827629,,,
809,788,12,0,6.669498,,,
810,950,10,0,6.856462,,,
811,1442,12,0,7.2737865,,,
812,866,12,1,6.763885,,,
813,625,9,0,6.437752,,,
814,680,12,0,6.522093,,,
815,693,12,0,6.54103,,,
816,875,12,1,6.774224,,,
817,2308,17,0,7.744137,,,
818,1196,14,0,7.086738,,,
819,700,12,1,6.55108,,,
820,721,12,0,6.5806394,,,
821,1500,13,0,7.3132205,,,
822,1050,15,1,6.9565454,,,
823,801,14,1,6.685861,,,
